Product discription (HS),World Average,Argentina,Australia,Austria,Belgium,Brazil,China,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russian Federation,Singapore,Slovakia,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,United States of America
Beef,3647.00,1370.00,3592.00,1964.00,2204.00,4612.00,3239.00,9402.00,2643.00,1811.00,2239.00,1750.00,1904.00,1825.00,5261.00,12216.00,1827.00,1432.00,2721.00,2683.00,4030.00,2450.00,2434.00,2608.00,4085.00,1541.00,2176.00,1694.00,2074.00,4229.00,4518.00,4075.00,4488.00,2063.00,1956.00,4114.00,3220.00,1848.00,1651.00,5018.00,2939.00,1748.00,3358.00
Beef boneless,5138.00,1930.00,5061.00,2767.00,3106.00,6496.00,4563.00,13244.00,3724.00,2552.00,3154.00,2465.00,2682.00,2571.00,7410.00,17207.00,2574.00,2017.00,3833.00,3780.00,5677.00,3451.00,3429.00,3674.00,5754.00,2171.00,3066.00,2387.00,2922.00,5958.00,6364.00,5740.00,6323.00,2906.00,2755.00,5796.00,4536.00,2604.00,2327.00,7069.00,4140.00,2463.00,4730.00
Beef frozen,3647.00,1370.00,3592.00,1964.00,2204.00,4612.00,3239.00,9402.00,2643.00,1811.00,2239.00,1750.00,1904.00,1825.00,5261.00,12216.00,1827.00,1432.00,2721.00,2683.00,4030.00,2450.00,2434.00,2608.00,4085.00,1541.00,2176.00,1694.00,2074.00,4229.00,4518.00,4075.00,4488.00,2063.00,1956.00,4114.00,3220.00,1848.00,1651.00,5018.00,2939.00,1748.00,3358.00
Beef boneless frozen,5138.00,1930.00,5061.00,2767.00,3106.00,6496.00,4563.00,13244.00,3724.00,2552.00,3154.00,2465.00,2682.00,2571.00,7410.00,17207.00,2574.00,2017.00,3833.00,3780.00,5677.00,3451.00,3429.00,3674.00,5754.00,2171.00,3066.00,2387.00,2922.00,5958.00,6364.00,5740.00,6323.00,2906.00,2755.00,5796.00,4536.00,2604.00,2327.00,7069.00,4140.00,2463.00,4730.00
Pork boneless,1892.00,1371.00,2188.00,971.00,1636.00,2278.00,1929.00,2872.00,1846.00,1645.00,1912.00,1981.00,1624.00,1335.00,2267.00,2216.00,1654.00,873.00,1925.00,1813.00,1951.00,3894.00,1645.00,1575.00,2638.00,1400.00,637.00,1574.00,1762.00,2753.00,1563.00,2415.00,2257.00,1862.00,1908.00,2816.00,2270.00,1525.00,1453.00,2475.00,1515.00,1500.00,1740.00
Pork,1996.00,1446.00,2308.00,1025.00,1726.00,2402.00,2034.00,3029.00,1948.00,1735.00,2016.00,2089.00,1713.00,1408.00,2391.00,2337.00,1745.00,921.00,2031.00,1913.00,2058.00,4107.00,1735.00,1662.00,2783.00,1476.00,672.00,1660.00,1859.00,2903.00,1649.00,2548.00,2381.00,1964.00,2013.00,2970.00,2395.00,1609.00,1533.00,2611.00,1598.00,1582.00,1836.00
Pork boneless frozen,1454.00,1052.00,1682.00,745.00,1256.00,1750.00,1482.00,2208.00,1418.00,1263.00,1469.00,1522.00,1247.00,1025.00,1742.00,1703.00,1270.00,669.00,1479.00,1393.00,1499.00,2995.00,1263.00,1210.00,2028.00,1074.00,487.00,1208.00,1354.00,2116.00,1200.00,1856.00,1735.00,1431.00,1466.00,2165.00,1745.00,1171.00,1116.00,1903.00,1163.00,1152.00,1337.00
Pork frozen,1892.00,1371.00,2188.00,971.00,1636.00,2278.00,1929.00,2872.00,1846.00,1645.00,1912.00,1981.00,1624.00,1335.00,2267.00,2216.00,1654.00,873.00,1925.00,1813.00,1951.00,3894.00,1645.00,1575.00,2638.00,1400.00,637.00,1574.00,1762.00,2753.00,1563.00,2415.00,2257.00,1862.00,1908.00,2816.00,2270.00,1525.00,1453.00,2475.00,1515.00,1500.00,1740.00
Lamb,2773.00,1884.00,2823.00,1913.00,2268.00,3250.00,1547.00,3178.00,2402.00,1104.00,1954.00,1931.00,1273.00,1147.00,3053.00,19547.00,1750.00,1070.00,2494.00,1291.00,2027.00,2076.00,1824.00,7022.00,5748.00,2318.00,1600.00,2527.00,2612.00,2767.00,2937.00,2579.00,0.00,2187.00,1517.00,3089.00,2927.00,1625.00,1648.00,2696.00,2067.00,1670.00,3012.00
Lamb boneless,3471.00,2360.00,3533.00,2396.00,2839.00,4067.00,1937.00,3977.00,3007.00,1385.00,2447.00,2418.00,1596.00,1437.00,3821.00,24438.00,2192.00,1341.00,3121.00,1617.00,2538.00,2599.00,2285.00,8782.00,7189.00,2902.00,2004.00,3163.00,3269.00,3463.00,3676.00,3228.00,0.00,2738.00,1901.00,3866.00,3663.00,2035.00,2064.00,3374.00,2588.00,2092.00,3769.00
